Sample Number,Species,Island,Individual ID,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex
1,Adelie Penguin (Pygoscelis adeliae),Torgersen,N1A1,39.1,18.7,181,3750,MALE
2,Adelie Penguin (Pygoscelis adeliae),Torgersen,N1A2,39.5,17.4,186,3800,FEMALE
3,Adelie Penguin (Pygoscelis adeliae),Torgersen,N2A1,40.3,18,195,3250,FEMALE
5,Adelie Penguin (Pygoscelis adeliae),Torgersen,N3A1,36.7,19.3,193,3450,FEMALE
6,Adelie Penguin (Pygoscelis adeliae),Torgersen,N3A2,39.3,20.6,190,3650,MALE
7,Adelie Penguin (Pygoscelis adeliae),Torgersen,N4A1,38.9,17.8,181,3625,FEMALE
8,Adelie Penguin (Pygoscelis adeliae),Torgersen,N4A2,39.2,19.6,195,4675,MALE
9,Adelie Penguin (Pygoscelis adeliae),Torgersen,N5A1,34.1,18.1,193,3475,FEMALE
10,Adelie Penguin (Pygoscelis adeliae),Torgersen,N5A2,42,20.2,190,4250,MALE
11,Adelie Penguin (Pygoscelis adeliae),Torgersen,N6A1,37.8,17.1,186,3300,MALE
12,Adelie Penguin (Pygoscelis adeliae),Torgersen,N6A2,37.8,17.3,180,3700,MALE
13,Adelie Penguin (Pygoscelis adeliae),Torgersen,N7A1,41.1,17.6,182,3200,FEMALE
14,Adelie Penguin (Pygoscelis adeliae),Torgersen,N7A2,38.6,21.2,191,3800,MALE
15,Adelie Penguin (Pygoscelis adeliae),Torgersen,N8A1,34.6,21.1,198,4400,MALE
16,Adelie Penguin (Pygoscelis adeliae),Torgersen,N8A2,36.6,17.8,185,3700,FEMALE
17,Adelie Penguin (Pygoscelis adeliae),Torgersen,N9A1,38.7,19,195,3450,FEMALE
18,Adelie Penguin (Pygoscelis adeliae),Torgersen,N9A2,42.5,20.7,197,4500,MALE
19,Adelie Penguin (Pygoscelis adeliae),Torgersen,N10A1,34.4,18.4,184,3325,FEMALE
20,Adelie Penguin (Pygoscelis adeliae),Torgersen,N10A2,46,21.5,194,4200,MALE
21,Adelie Penguin (Pygoscelis adeliae),Biscoe,N11A1,37.8,18.3,174,3400,FEMALE
22,Adelie Penguin (Pygoscelis adeliae),Biscoe,N11A2,37.7,18.7,180,3600,MALE
23,Adelie Penguin (Pygoscelis adeliae),Biscoe,N12A1,35.9,19.2,189,3800,FEMALE
24,Adelie Penguin (Pygoscelis adeliae),Biscoe,N12A2,38.2,18.1,185,3950,MALE
25,Adelie Penguin (Pygoscelis adeliae),Biscoe,N13A1,38.8,17.2,180,3800,MALE
26,Adelie Penguin (Pygoscelis adeliae),Biscoe,N13A2,35.3,18.9,187,3800,FEMALE
27,Adelie Penguin (Pygoscelis adeliae),Biscoe,N17A1,40.6,18.6,183,3550,MALE
28,Adelie Penguin (Pygoscelis adeliae),Biscoe,N17A2,40.5,17.9,187,3200,FEMALE
29,Adelie Penguin (Pygoscelis adeliae),Biscoe,N18A1,37.9,18.6,172,3150,FEMALE
30,Adelie Penguin (Pygoscelis adeliae),Biscoe,N18A2,40.5,18.9,180,3950,MALE
31,Adelie Penguin (Pygoscelis adeliae),Dream,N21A1,39.5,16.7,178,3250,FEMALE
32,Adelie Penguin (Pygoscelis adeliae),Dream,N21A2,37.2,18.1,178,3900,MALE
33,Adelie Penguin (Pygoscelis adeliae),Dream,N22A1,39.5,17.8,188,3300,FEMALE
34,Adelie Penguin (Pygoscelis adeliae),Dream,N22A2,40.9,18.9,184,3900,MALE
35,Adelie Penguin (Pygoscelis adeliae),Dream,N23A1,36.4,17,195,3325,FEMALE
36,Adelie Penguin (Pygoscelis adeliae),Dream,N23A2,39.2,21.1,196,4150,MALE
37,Adelie Penguin (Pygoscelis adeliae),Dream,N24A1,38.8,20,190,3950,MALE
38,Adelie Penguin (Pygoscelis adeliae),Dream,N24A2,42.2,18.5,180,3550,FEMALE
39,Adelie Penguin (Pygoscelis adeliae),Dream,N25A1,37.6,19.3,181,3300,FEMALE
40,Adelie Penguin (Pygoscelis adeliae),Dream,N25A2,39.8,19.1,184,4650,MALE
41,Adelie Penguin (Pygoscelis adeliae),Dream,N26A1,36.5,18,182,3150,FEMALE
42,Adelie Penguin (Pygoscelis adeliae),Dream,N26A2,40.8,18.4,195,3900,MALE
43,Adelie Penguin (Pygoscelis adeliae),Dream,N27A1,36,18.5,186,3100,FEMALE
44,Adelie Penguin (Pygoscelis adeliae),Dream,N27A2,44.1,19.7,196,4400,MALE
45,Adelie Penguin (Pygoscelis adeliae),Dream,N28A1,37,16.9,185,3000,FEMALE
46,Adelie Penguin (Pygoscelis adeliae),Dream,N28A2,39.6,18.8,190,4600,MALE
47,Adelie Penguin (Pygoscelis adeliae),Dream,N29A1,41.1,19,182,3425,MALE
48,Adelie Penguin (Pygoscelis adeliae),Dream,N29A2,37.5,18.9,179,2975,
49,Adelie Penguin (Pygoscelis adeliae),Dream,N30A1,36,17.9,190,3450,FEMALE
50,Adelie Penguin (Pygoscelis adeliae),Dream,N30A2,42.3,21.2,191,4150,MALE
51,Adelie Penguin (Pygoscelis adeliae),Biscoe,N21A1,39.6,17.7,186,3500,FEMALE
52,Adelie Penguin (Pygoscelis adeliae),Biscoe,N21A2,40.1,18.9,188,4300,MALE
53,Adelie Penguin (Pygoscelis adeliae),Biscoe,N22A1,35,17.9,190,3450,FEMALE
54,Adelie Penguin (Pygoscelis adeliae),Biscoe,N22A2,42,19.5,200,4050,MALE
55,Adelie Penguin (Pygoscelis adeliae),Biscoe,N23A1,34.5,18.1,187,2900,FEMALE
56,Adelie Penguin (Pygoscelis adeliae),Biscoe,N23A2,41.4,18.6,191,3700,MALE
57,Adelie Penguin (Pygoscelis adeliae),Biscoe,N24A1,39,17.5,186,3550,FEMALE
58,Adelie Penguin (Pygoscelis adeliae),Biscoe,N24A2,40.6,18.8,193,3800,MALE
59,Adelie Penguin (Pygoscelis adeliae),Biscoe,N25A1,36.5,16.6,181,2850,FEMALE
60,Adelie Penguin (Pygoscelis adeliae),Biscoe,N25A2,37.6,19.1,194,3750,MALE
61,Adelie Penguin (Pygoscelis adeliae),Biscoe,N27A1,35.7,16.9,185,3150,FEMALE
62,Adelie Penguin (Pygoscelis adeliae),Biscoe,N27A2,41.3,21.1,195,4400,MALE
63,Adelie Penguin (Pygoscelis adeliae),Biscoe,N28A1,37.6,17,185,3600,FEMALE
64,Adelie Penguin (Pygoscelis adeliae),Biscoe,N28A2,41.1,18.2,192,4050,MALE
65,Adelie Penguin (Pygoscelis adeliae),Biscoe,N29A1,36.4,17.1,184,2850,FEMALE
66,Adelie Penguin (Pygoscelis adeliae),Biscoe,N29A2,41.6,18,192,3950,MALE
67,Adelie Penguin (Pygoscelis adeliae),Biscoe,N30A1,35.5,16.2,195,3350,FEMALE
68,Adelie Penguin (Pygoscelis adeliae),Biscoe,N30A2,41.1,19.1,188,4100,MALE
69,Adelie Penguin (Pygoscelis adeliae),Torgersen,N32A1,35.9,16.6,190,3050,FEMALE
70,Adelie Penguin (Pygoscelis adeliae),Torgersen,N32A2,41.8,19.4,198,4450,MALE
71,Adelie Penguin (Pygoscelis adeliae),Torgersen,N34A1,33.5,19,190,3600,FEMALE
72,Adelie Penguin (Pygoscelis adeliae),Torgersen,N34A2,39.7,18.4,190,3900,MALE
73,Adelie Penguin (Pygoscelis adeliae),Torgersen,N35A1,39.6,17.2,196,3550,FEMALE
74,Adelie Penguin (Pygoscelis adeliae),Torgersen,N35A2,45.8,18.9,197,4150,MALE
75,Adelie Penguin (Pygoscelis adeliae),Torgersen,N36A1,35.5,17.5,190,3700,FEMALE
76,Adelie Penguin (Pygoscelis adeliae),Torgersen,N36A2,42.8,18.5,195,4250,MALE
77,Adelie Penguin (Pygoscelis adeliae),Torgersen,N37A1,40.9,16.8,191,3700,FEMALE
78,Adelie Penguin (Pygoscelis adeliae),Torgersen,N37A2,37.2,19.4,184,3900,MALE
79,Adelie Penguin (Pygoscelis adeliae),Torgersen,N38A1,36.2,16.1,187,3550,FEMALE
80,Adelie Penguin (Pygoscelis adeliae),Torgersen,N38A2,42.1,19.1,195,4000,MALE
81,Adelie Penguin (Pygoscelis adeliae),Torgersen,N39A1,34.6,17.2,189,3200,FEMALE
82,Adelie Penguin (Pygoscelis adeliae),Torgersen,N39A2,42.9,17.6,196,4700,MALE
83,Adelie Penguin (Pygoscelis adeliae),Torgersen,N40A1,36.7,18.8,187,3800,FEMALE
84,Adelie Penguin (Pygoscelis adeliae),Torgersen,N40A2,35.1,19.4,193,4200,MALE
85,Adelie Penguin (Pygoscelis adeliae),Dream,N41A1,37.3,17.8,191,3350,FEMALE
86,Adelie Penguin (Pygoscelis adeliae),Dream,N41A2,41.3,20.3,194,3550,MALE
87,Adelie Penguin (Pygoscelis adeliae),Dream,N42A1,36.3,19.5,190,3800,MALE
88,Adelie Penguin (Pygoscelis adeliae),Dream,N42A2,36.9,18.6,189,3500,FEMALE
89,Adelie Penguin (Pygoscelis adeliae),Dream,N44A1,38.3,19.2,189,3950,MALE
90,Adelie Penguin (Pygoscelis adeliae),Dream,N44A2,38.9,18.8,190,3600,FEMALE
91,Adelie Penguin (Pygoscelis adeliae),Dream,N45A1,35.7,18,202,3550,FEMALE
92,Adelie Penguin (Pygoscelis adeliae),Dream,N45A2,41.1,18.1,205,4300,MALE
93,Adelie Penguin (Pygoscelis adeliae),Dream,N46A1,34,17.1,185,3400,FEMALE
94,Adelie Penguin (Pygoscelis adeliae),Dream,N46A2,39.6,18.1,186,4450,MALE
95,Adelie Penguin (Pygoscelis adeliae),Dream,N48A1,36.2,17.3,187,3300,FEMALE
96,Adelie Penguin (Pygoscelis adeliae),Dream,N48A2,40.8,18.9,208,4300,MALE
97,Adelie Penguin (Pygoscelis adeliae),Dream,N49A1,38.1,18.6,190,3700,FEMALE
98,Adelie Penguin (Pygoscelis adeliae),Dream,N49A2,40.3,18.5,196,4350,MALE
99,Adelie Penguin (Pygoscelis adeliae),Dream,N50A1,33.1,16.1,178,2900,FEMALE
100,Adelie Penguin (Pygoscelis adeliae),Dream,N50A2,43.2,18.5,192,4100,MALE
101,Adelie Penguin (Pygoscelis adeliae),Biscoe,N47A1,35,17.9,192,3725,FEMALE
102,Adelie Penguin (Pygoscelis adeliae),Biscoe,N47A2,41,20,203,4725,MALE
103,Adelie Penguin (Pygoscelis adeliae),Biscoe,N49A1,37.7,16,183,3075,FEMALE
104,Adelie Penguin (Pygoscelis adeliae),Biscoe,N49A2,37.8,20,190,4250,MALE
105,Adelie Penguin (Pygoscelis adeliae),Biscoe,N51A1,37.9,18.6,193,2925,FEMALE
106,Adelie Penguin (Pygoscelis adeliae),Biscoe,N51A2,39.7,18.9,184,3550,MALE
107,Adelie Penguin (Pygoscelis adeliae),Biscoe,N53A1,38.6,17.2,199,3750,FEMALE
108,Adelie Penguin (Pygoscelis adeliae),Biscoe,N53A2,38.2,20,190,3900,MALE
109,Adelie Penguin (Pygoscelis adeliae),Biscoe,N55A1,38.1,17,181,3175,FEMALE
110,Adelie Penguin (Pygoscelis adeliae),Biscoe,N55A2,43.2,19,197,4775,MALE
111,Adelie Penguin (Pygoscelis adeliae),Biscoe,N58A1,38.1,16.5,198,3825,FEMALE
112,Adelie Penguin (Pygoscelis adeliae),Biscoe,N58A2,45.6,20.3,191,4600,MALE
113,Adelie Penguin (Pygoscelis adeliae),Biscoe,N60A1,39.7,17.7,193,3200,FEMALE
114,Adelie Penguin (Pygoscelis adeliae),Biscoe,N60A2,42.2,19.5,197,4275,MALE
115,Adelie Penguin (Pygoscelis adeliae),Biscoe,N61A1,39.6,20.7,191,3900,FEMALE
116,Adelie Penguin (Pygoscelis adeliae),Biscoe,N61A2,42.7,18.3,196,4075,MALE
117,Adelie Penguin (Pygoscelis adeliae),Torgersen,N63A1,38.6,17,188,2900,FEMALE
118,Adelie Penguin (Pygoscelis adeliae),Torgersen,N63A2,37.3,20.5,199,3775,MALE
119,Adelie Penguin (Pygoscelis adeliae),Torgersen,N64A1,35.7,17,189,3350,FEMALE
120,Adelie Penguin (Pygoscelis adeliae),Torgersen,N64A2,41.1,18.6,189,3325,MALE
121,Adelie Penguin (Pygoscelis adeliae),Torgersen,N66A1,36.2,17.2,187,3150,FEMALE
122,Adelie Penguin (Pygoscelis adeliae),Torgersen,N66A2,37.7,19.8,198,3500,MALE
123,Adelie Penguin (Pygoscelis adeliae),Torgersen,N67A1,40.2,17,176,3450,FEMALE
124,Adelie Penguin (Pygoscelis adeliae),Torgersen,N67A2,41.4,18.5,202,3875,MALE
125,Adelie Penguin (Pygoscelis adeliae),Torgersen,N69A1,35.2,15.9,186,3050,FEMALE
126,Adelie Penguin (Pygoscelis adeliae),Torgersen,N69A2,40.6,19,199,4000,MALE
127,Adelie Penguin (Pygoscelis adeliae),Torgersen,N71A1,38.8,17.6,191,3275,FEMALE
128,Adelie Penguin (Pygoscelis adeliae),Torgersen,N71A2,41.5,18.3,195,4300,MALE
129,Adelie Penguin (Pygoscelis adeliae),Torgersen,N72A1,39,17.1,191,3050,FEMALE
130,Adelie Penguin (Pygoscelis adeliae),Torgersen,N72A2,44.1,18,210,4000,MALE
131,Adelie Penguin (Pygoscelis adeliae),Torgersen,N73A1,38.5,17.9,190,3325,FEMALE
132,Adelie Penguin (Pygoscelis adeliae),Torgersen,N73A2,43.1,19.2,197,3500,MALE
133,Adelie Penguin (Pygoscelis adeliae),Dream,N76A1,36.8,18.5,193,3500,FEMALE
134,Adelie Penguin (Pygoscelis adeliae),Dream,N76A2,37.5,18.5,199,4475,MALE
135,Adelie Penguin (Pygoscelis adeliae),Dream,N77A1,38.1,17.6,187,3425,FEMALE
136,Adelie Penguin (Pygoscelis adeliae),Dream,N77A2,41.1,17.5,190,3900,MALE
137,Adelie Penguin (Pygoscelis adeliae),Dream,N78A1,35.6,17.5,191,3175,FEMALE
138,Adelie Penguin (Pygoscelis adeliae),Dream,N78A2,40.2,20.1,200,3975,MALE
139,Adelie Penguin (Pygoscelis adeliae),Dream,N79A1,37,16.5,185,3400,FEMALE
140,Adelie Penguin (Pygoscelis adeliae),Dream,N79A2,39.7,17.9,193,4250,MALE
141,Adelie Penguin (Pygoscelis adeliae),Dream,N80A1,40.2,17.1,193,3400,FEMALE
142,Adelie Penguin (Pygoscelis adeliae),Dream,N80A2,40.6,17.2,187,3475,MALE
143,Adelie Penguin (Pygoscelis adeliae),Dream,N81A1,32.1,15.5,188,3050,FEMALE
144,Adelie Penguin (Pygoscelis adeliae),Dream,N81A2,40.7,17,190,3725,MALE
145,Adelie Penguin (Pygoscelis adeliae),Dream,N82A1,37.3,16.8,192,3000,FEMALE
146,Adelie Penguin (Pygoscelis adeliae),Dream,N82A2,39,18.7,185,3650,MALE
147,Adelie Penguin (Pygoscelis adeliae),Dream,N83A1,39.2,18.6,190,4250,MALE
148,Adelie Penguin (Pygoscelis adeliae),Dream,N83A2,36.6,18.4,184,3475,FEMALE
149,Adelie Penguin (Pygoscelis adeliae),Dream,N84A1,36,17.8,195,3450,FEMALE
150,Adelie Penguin (Pygoscelis adeliae),Dream,N84A2,37.8,18.1,193,3750,MALE
151,Adelie Penguin (Pygoscelis adeliae),Dream,N85A1,36,17.1,187,3700,FEMALE
152,Adelie Penguin (Pygoscelis adeliae),Dream,N85A2,41.5,18.5,201,4000,MALE
1,Chinstrap penguin (Pygoscelis antarctica),Dream,N61A1,46.5,17.9,192,3500,FEMALE
2,Chinstrap penguin (Pygoscelis antarctica),Dream,N61A2,50,19.5,196,3900,MALE
3,Chinstrap penguin (Pygoscelis antarctica),Dream,N62A1,51.3,19.2,193,3650,MALE
4,Chinstrap penguin (Pygoscelis antarctica),Dream,N62A2,45.4,18.7,188,3525,FEMALE
5,Chinstrap penguin (Pygoscelis antarctica),Dream,N64A1,52.7,19.8,197,3725,MALE
6,Chinstrap penguin (Pygoscelis antarctica),Dream,N64A2,45.2,17.8,198,3950,FEMALE
7,Chinstrap penguin (Pygoscelis antarctica),Dream,N66A1,46.1,18.2,178,3250,FEMALE
8,Chinstrap penguin (Pygoscelis antarctica),Dream,N66A2,51.3,18.2,197,3750,MALE
9,Chinstrap penguin (Pygoscelis antarctica),Dream,N67A1,46,18.9,195,4150,FEMALE
10,Chinstrap penguin (Pygoscelis antarctica),Dream,N67A2,51.3,19.9,198,3700,MALE
11,Chinstrap penguin (Pygoscelis antarctica),Dream,N68A1,46.6,17.8,193,3800,FEMALE
12,Chinstrap penguin (Pygoscelis antarctica),Dream,N68A2,51.7,20.3,194,3775,MALE
13,Chinstrap penguin (Pygoscelis antarctica),Dream,N69A1,47,17.3,185,3700,FEMALE
14,Chinstrap penguin (Pygoscelis antarctica),Dream,N69A2,52,18.1,201,4050,MALE
15,Chinstrap penguin (Pygoscelis antarctica),Dream,N70A1,45.9,17.1,190,3575,FEMALE
16,Chinstrap penguin (Pygoscelis antarctica),Dream,N70A2,50.5,19.6,201,4050,MALE
17,Chinstrap penguin (Pygoscelis antarctica),Dream,N71A1,50.3,20,197,3300,MALE
18,Chinstrap penguin (Pygoscelis antarctica),Dream,N71A2,58,17.8,181,3700,FEMALE
